V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Q3,Q56,Q11,Q12,Q13,Q14,Q15,Q17,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,Q206,Q207,Q208,Q209,Q210,Q211,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_time_1,p2_time_2,p2_time_3,p2_time_4,Q227,Q228,Q229,Q230,Q231,Q232,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_time_1,p3_time_2,p3_time_3,p3_time_4,Q213,Q214,Q215,Q216,Q217,Q218,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_time_1,p4_time_2,p4_time_3,p4_time_4,Q220,Q221,Q222,Q223,Q224,Q225,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_time_1,p5_time_2,p5_time_3,p5_time_4,Q70,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,attitude3,attitude4,libert_1,libert_2,libert_3,libert_4,libert_5,libert_6,gender,age_1,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_5buhLb0pqDrf9Ih,Default Response Set,Anonymous,,,96.231.239.55,0,2014-05-17 08:21:50,2014-05-17 08:27:56,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,1,3,2,5,4,1,1,1,1,,,,,2,4,1,5,4,5,1.462,60.566,69.066,9,1,,1,,,,4,1,4,3,1,3,26.337,48.752,49.445,6,1,,,1,,,2,3,3,4,1,4,36.664,45.007000000000005,45.862,6,1,,,,,1,3,2,4,4,2,4,6.887,41.543000000000006,42.095,9,1,,,,1,,4,2,3,4,2,4,13.752,44.555,45.249,9,1,3,1,,,5,,,3,4,6,4,6,6,5,6,4,5,2,54,Thank you!,38.783294677734,-77.123397827148,-1,
R_9vIvasTXoHH1uAZ,Default Response Set,Anonymous,,,74.130.128.50,0,2014-05-17 08:23:44,2014-05-17 08:28:36,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,4,2,5,1,3,1,1,1,1,,,,,2,4,3,4,3,4,73.554,83.403,84.244,7,1,,1,,,,4,3,4,2,2,2,21.772,30.544999999999998,31.331,6,1,,,1,,,3,3,2,4,4,4,6.338,16.322,16.86,11,1,,,,1,,4,2,4,3,2,3,39.788,49.61,50.252,7,1,,,,,1,3,3,4,3,2,3,14.442,18.305999999999997,21.33,7,1,2,1,,,1,,,7,1,7,1,5,4,6,6,3,3,1,37,Thanks for the work!,38.015899658203,-84.484703063965,-1,
R_097shMM6jy6ZIeF,Default Response Set,Anonymous,,,24.217.244.67,0,2014-05-17 08:24:54,2014-05-17 08:29:15,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,4,2,1,3,5,1,1,1,,1,,,,4,1,5,2,1,2,32.608,41.624999999999986,42.701,6,1,1,,,,,3,1,5,4,1,4,34.45,47.22200000000001,48.391,7,1,,,1,,,2,4,3,4,3,4,7.356,28.352000000000004,29.607,9,1,,,,1,,4,2,5,5,2,3,23.606,33.982,34.787,6,1,,,,,1,2,4,3,5,3,5,2.368,24.451,25.319,7,1,3,1,,,1,,,7,1,7,1,2,5,3,4,2,2,1,36,No.,38.55729675293,-90.247596740723,-1,
R_etAUmRiHtxMpHb7,Default Response Set,Anonymous,,,68.192.233.73,0,2014-05-17 08:25:42,2014-05-17 08:29:18,1,safe sex,food stamps,control,intelligent design,tax breaks,6,6,2,4,1,3,5,1,1,1,,,,1,,1,5,2,4,5,4,9.27,17.272999999999996,17.765,7,1,,1,,,,5,1,5,1,1,1,38.195,46.05699999999999,47.086,7,1,1,,,,,5,1,4,2,2,3,19.541,27.653,28.973,8,1,,,,,1,5,1,4,3,2,2,20.936,29.406000000000002,30.089,7,1,,,1,,,3,4,4,2,4,4,6.932,15.531999999999996,16.231,9,1,2,6,,,2,,,7,1,6,1,2,6,2,3,6,2,1,52,,40.942199707031,-74.41960144043,-1,
R_6gMFqb7JVYMJEjz,Default Response Set,Anonymous,,,91.182.120.109,0,2014-05-17 08:22:26,2014-05-17 08:29:18,1,control,intelligent design,safe sex,tax breaks,food stamps,6,6,2,5,3,1,4,1,1,1,1,,,,,1,5,2,5,3,5,14.033,21.497999999999998,22.479,6,1,,,,,1,5,1,5,1,1,1,24.409,28.860999999999997,29.973,6,1,,,,1,,3,1,3,4,2,4,13.605,34.575,35.484,8,1,,,1,,,4,2,4,2,1,1,41.083,48.093,49.365,6,1,,1,,,,5,1,5,1,1,1,20.523,27.583,28.667,7,1,2,1,,,2,,,7,1,7,7,5,2,5,5,2,1,1,40,,50.833297729492,4.3332977294922,-1,
R_cHnqTk5Skf1s4bH,Default Response Set,Anonymous,,,50.139.247.203,0,2014-05-17 08:20:42,2014-05-17 08:29:21,1,tax breaks,intelligent design,control,food stamps,safe sex,6,6,3,5,1,4,2,1,1,1,,,1,,,1,5,3,5,5,1,38.494,51.88699999999999,56.01,6,1,,,,,1,5,1,5,3,1,1,53.611,60.854000000000006,61.714,6,1,1,,,,,5,1,5,4,1,1,50.389,75.656,77.074,6,1,,1,,,,3,3,4,1,1,1,66.076,79.29699999999998,80.747,6,1,,,,1,,5,1,5,1,1,1,62.423,69.21000000000001,70.391,6,1,1,6,,,6,,,2,6,7,7,6,7,3,5,1,1,2,33,,30.143798828125,-81.540100097656,-1,
R_8GI3pfedIlZO7Nr,Default Response Set,Anonymous,,,24.49.120.52,0,2014-05-17 08:22:45,2014-05-17 08:29:33,1,food stamps,tax breaks,safe sex,intelligent design,control,6,6,3,5,1,4,2,1,1,1,,1,,,,1,4,1,5,5,5,71.694,78.50700000000002,80.066,6,1,,,1,,,4,2,4,2,2,3,20.748,27.143,28.014,6,1,,,,1,,2,4,3,4,3,4,86.268,98.179,98.966,7,1,,,,,1,4,2,3,4,2,3,26.429,33.312999999999995,34.151,6,1,1,,,,,3,2,3,4,2,3,55.38,76.33900000000001,77.265,6,1,1,6,,,7,,,1,7,5,4,7,1,7,7,1,1,1,37,No,45.616302490234,-94.294502258301,-1,
R_0iwknBk6bLPgaHj,Default Response Set,Anonymous,,,71.90.19.248,0,2014-05-17 08:22:48,2014-05-17 08:29:46,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,2,5,3,4,1,1,1,1,1,,,,,1,5,1,5,4,4,46.397,69.141,70.415,6,1,,1,,,,2,3,3,4,2,4,31.487,43.02700000000001,44.27,6,1,,,1,,,1,5,1,5,4,4,32.49,43.74800000000001,44.862,6,1,,,,1,,2,4,2,5,4,5,40.882,51.498,52.622,6,1,,,,,1,1,4,1,4,4,4,69.824,83.69200000000001,87.64,6,1,2,1,,,1,,,6,1,6,1,5,5,6,6,3,2,2,60,Interesting.,42.898696899414,-88.799102783203,-1,
R_55sAVRnoG72bm61,Default Response Set,Anonymous,,,65.188.234.116,0,2014-05-17 08:25:13,2014-05-17 08:30:00,1,safe sex,intelligent design,food stamps,tax breaks,control,6,6,5,3,4,1,2,1,1,1,,,,1,,5,1,5,4,1,4,9.304,28.949,30.286,9,1,,,,,1,5,1,5,1,1,1,10.223,33.69199999999999,36.71,11,1,,1,,,,5,1,5,4,1,2,20.161,32.056,33.114,8,1,,,1,,,5,1,4,5,1,2,37.363,46.90599999999999,48.501,6,1,1,,,,,5,1,5,4,1,1,15.28,34.428999999999995,35.719,11,1,2,1,,,1,,,7,1,7,1,1,5,5,2,5,5,1,24,Simple survey,36.124206542969,-80.635101318359,-1,
R_3eYNCwkwP46SwnP,Default Response Set,Anonymous,,,71.246.122.139,0,2014-05-17 08:25:45,2014-05-17 08:30:23,1,tax breaks,intelligent design,food stamps,control,safe sex,6,6,5,3,1,2,4,1,1,1,,,1,,,4,2,4,2,3,3,15.784,22.151999999999997,23.053,6,1,,,,,1,4,2,4,2,3,3,22.715,30.339,31.336,6,1,,1,,,,4,2,4,3,2,3,42.561,49.479,50.493,6,1,1,,,,,4,2,4,3,2,3,38.407,44.95099999999999,45.804,6,1,,,,1,,4,2,4,2,3,3,25.869,31.773,32.794,6,1,1,6,,,6,,,3,6,5,4,5,5,4,5,4,4,2,34,,40.680892944336,-73.980499267578,-1,
R_eWpfCbJL0rCWEwB,Default Response Set,Anonymous,,,72.185.92.69,0,2014-05-17 08:26:21,2014-05-17 08:30:29,1,safe sex,intelligent design,food stamps,control,tax breaks,6,6,2,3,5,1,4,1,1,1,,,,1,,3,3,2,4,4,5,20.155,34.383,35.336,6,1,,,,,1,3,3,3,3,3,3,14.222,20.427999999999997,21.705,6,1,,1,,,,2,4,2,5,4,4,16.562,28.025000000000002,29.269,6,1,1,,,,,4,2,4,3,2,3,1.606,35.257000000000005,36.375,7,1,,,1,,,2,4,3,4,3,4,1.323,22.808999999999997,23.99,7,1,2,1,,,3,,,6,2,7,1,3,5,3,3,5,5,1,38,,27.796905517578,-82.607002258301,-1,
